Day,SNS Source,SNS Target
2020-12-15,Twitter,4Chan
2020-12-15,Twitter,4Chan
2020-12-15,Twitter,4Chan
2020-12-15,Twitter,4Chan
2020-12-15,Twitter,4Chan
2020-12-15,Twitter,4Chan
2020-12-15,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-03,Twitter,4Chan
2020-12-02,Twitter,4Chan
2020-12-02,Twitter,4Chan
2020-12-02,Twitter,4Chan
2020-12-02,Twitter,4Chan
2020-12-02,Twitter,4Chan
2020-12-02,Twitter,4Chan
2020-12-02,Twitter,4Chan
2020-11-30,Twitter,4Chan
2020-11-30,Twitter,4Chan
2020-11-30,Twitter,4Chan
2020-11-29,Twitter,4Chan
2020-11-29,Twitter,4Chan
2020-11-29,Twitter,4Chan
2020-11-29,Twitter,4Chan
2020-11-28,Twitter,4Chan
2020-11-28,Twitter,4Chan
2020-11-28,Twitter,4Chan
2020-11-28,Twitter,4Chan
2020-11-28,Twitter,4Chan
2020-11-28,Twitter,4Chan
2020-11-27,Twitter,4Chan
2020-11-27,Twitter,4Chan
2020-11-27,Twitter,4Chan
2020-11-27,Twitter,4Chan
2020-11-27,Twitter,4Chan
2020-11-27,Twitter,4Chan
2020-11-26,Twitter,4Chan
2020-11-26,Twitter,4Chan
2020-11-26,Twitter,4Chan
2020-11-26,Twitter,4Chan
2020-11-25,Twitter,4Chan
2020-11-25,Twitter,4Chan
2020-11-25,Twitter,4Chan
2020-11-25,Twitter,4Chan
2020-11-25,Twitter,4Chan
2020-11-25,Twitter,4Chan
2020-11-24,Twitter,4Chan
2020-11-16,Twitter,4Chan
2020-11-16,Twitter,4Chan
2020-11-16,Twitter,4Chan
2020-11-16,Twitter,4Chan
2020-11-17,Twitter,4Chan
2020-11-14,Twitter,4Chan
2020-11-14,Twitter,4Chan
2020-11-14,Twitter,4Chan
2020-11-14,Twitter,4Chan
2020-11-14,Twitter,4Chan
2020-11-14,Twitter,4Chan
2020-11-14,Twitter,4Chan
2020-11-14,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2020-11-13,Twitter,4Chan
2021-01-09,Bitchute,Bitchute
2020-11-07,Twitter,4Chan
2021-01-01,Bitchute,Bitchute
2020-11-07,Twitter,4Chan
2020-11-09,Bitchute,Bitchute
2020-11-03,Bitchute,Bitchute
2020-11-21,Bitchute,Bitchute
2020-11-07,Twitter,4Chan
2020-11-09,Bitchute,Bitchute
2021-01-09,Bitchute,Bitchute
2020-12-14,Bitchute,Bitchute
2020-11-14,TG,YouTube
2020-11-20,TG,YouTube
2020-11-15,TG,YouTube
2020-11-15,TG,YouTube
2020-11-17,TG,YouTube
2020-11-21,TG,YouTube
2020-11-21,TG,YouTube
2020-11-22,TG,YouTube
2020-11-22,TG,YouTube
2020-11-23,TG,YouTube
2020-11-23,TG,YouTube
2020-11-23,TG,YouTube
2020-11-24,TG,YouTube
2020-11-27,TG,YouTube
2020-12-05,TG,YouTube
2020-11-28,TG,YouTube
2020-11-28,TG,YouTube
2020-11-30,TG,YouTube
2020-12-07,TG,YouTube
2020-12-04,TG,YouTube
2020-12-04,TG,YouTube
2020-12-06,TG,YouTube
2020-11-11,TG,YouTube
2020-11-11,TG,YouTube
2020-11-11,TG,YouTube
2020-11-23,TG,YouTube
2020-11-26,TG,YouTube
2020-11-11,TG,YouTube
2020-11-11,TG,YouTube
2020-11-12,TG,YouTube
2020-11-12,TG,YouTube
2020-11-12,TG,YouTube
2020-11-13,TG,YouTube
2020-11-13,TG,YouTube
2020-11-15,TG,YouTube
2020-12-02,TG,YouTube
2020-11-10,TG,YouTube
2020-11-11,TG,YouTube
2020-11-15,TG,YouTube
2020-11-14,Twitter,YouTube
2020-12-09,Twitter,YouTube
2021-01-02,Twitter,YouTube
2020-11-08,Twitter,YouTube
2020-11-27,Twitter,YouTube
2020-12-20,Twitter,YouTube
2021-01-02,Twitter,YouTube
2021-01-08,Twitter,YouTube
2021-01-09,Twitter,YouTube
2020-11-14,Twitter,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-04,4Chan,YouTube
2020-12-04,4Chan,YouTube
2020-11-29,4Chan,YouTube
2020-11-30,4Chan,YouTube
2021-01-08,Twitter,4Chan
2021-01-08,Twitter,4Chan
2021-01-07,Twitter,4Chan
2021-01-07,Twitter,4Chan
2021-01-07,Twitter,4Chan
2021-01-01,4Chan,Bitchute
2021-01-07,Twitter,4Chan
2021-01-07,Twitter,4Chan
2021-01-07,Twitter,4Chan
2021-01-07,Twitter,4Chan
2021-01-07,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-06,Twitter,4Chan
2021-01-05,Twitter,4Chan
2021-01-01,4Chan,Bitchute
2021-01-05,Twitter,4Chan
2021-01-05,Twitter,4Chan
2021-01-05,Twitter,4Chan
2021-01-05,Twitter,4Chan
2021-01-05,Twitter,4Chan
2021-01-04,Twitter,4Chan
2020-12-24,Twitter,4Chan
2020-12-24,Twitter,4Chan
2020-12-24,Twitter,4Chan
2020-12-24,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-23,Twitter,4Chan
2020-12-22,Twitter,4Chan
2020-12-22,Twitter,4Chan
2020-12-22,Twitter,4Chan
2020-12-22,Twitter,4Chan
2020-12-22,Twitter,4Chan
2020-12-22,Twitter,4Chan
2020-12-22,Twitter,4Chan
2020-12-22,Twitter,4Chan
2020-12-20,Twitter,4Chan
2020-12-20,Twitter,4Chan
2020-12-20,Twitter,4Chan
2020-12-20,Twitter,4Chan
2020-12-20,Twitter,4Chan
2020-12-20,Twitter,4Chan
2020-12-19,Twitter,4Chan
2020-12-19,Twitter,4Chan
2020-12-19,Twitter,4Chan
2020-12-19,Twitter,4Chan
2020-12-19,Twitter,4Chan
2020-12-19,Twitter,4Chan
2020-12-19,Twitter,4Chan
2020-12-19,Twitter,4Chan
2020-12-18,Twitter,4Chan
2020-12-18,Twitter,4Chan
2020-12-18,Twitter,4Chan
2020-12-18,Twitter,4Chan
2020-12-17,Twitter,4Chan
2020-12-17,Twitter,4Chan
2020-12-17,Twitter,4Chan
2020-12-17,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-14,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-13,Twitter,4Chan
2020-12-12,Twitter,4Chan
2020-12-12,Twitter,4Chan
2020-12-12,Twitter,4Chan
2020-12-12,Twitter,4Chan
2020-12-12,Twitter,4Chan
2020-12-12,Twitter,4Chan
2020-12-11,Twitter,4Chan
2020-12-11,Twitter,4Chan
2020-12-11,Twitter,4Chan
2020-12-07,Twitter,4Chan
2020-12-07,Twitter,4Chan
2020-12-07,Twitter,4Chan
2020-12-07,Twitter,4Chan
2020-12-07,Twitter,4Chan
2020-12-07,Twitter,4Chan
2020-12-07,Twitter,4Chan
2020-12-07,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-06,Twitter,4Chan
2020-12-05,Twitter,4Chan
2020-12-05,Twitter,4Chan
2020-12-05,Twitter,4Chan
2020-12-05,Twitter,4Chan
2020-12-05,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-09,Gab,Gab
2020-11-11,Twitter,4Chan
2020-11-10,Twitter,4Chan
2020-11-10,Twitter,4Chan
2020-11-09,Twitter,4Chan
2020-11-09,Twitter,4Chan
2020-11-09,Twitter,4Chan
2020-11-09,Twitter,4Chan
2020-11-09,Twitter,4Chan
2020-11-09,Twitter,4Chan
2020-11-09,Twitter,4Chan
2020-11-02,Gab,Bitchute
2020-12-06,Gab,Bitchute
2020-12-08,4Chan,Bitchute
2020-11-21,4Chan,Bitchute
2020-12-23,4Chan,Bitchute
2020-12-24,4Chan,Bitchute
2020-12-26,4Chan,Bitchute
2020-11-18,Gab,Bitchute
2020-11-01,TG,Bitchute
2020-12-15,TG,Bitchute
2020-12-15,TG,Bitchute
2020-12-15,TG,Bitchute
2020-11-01,TG,Bitchute
2020-11-06,Bitchute,Bitchute
2020-11-27,Bitchute,Bitchute
2020-12-08,Bitchute,Bitchute
2020-11-02,Bitchute,Bitchute
2021-01-09,Bitchute,Bitchute
2020-12-11,Bitchute,Bitchute
2020-11-06,Gab,Bitchute
2020-11-07,Gab,Bitchute
2020-11-28,4Chan,Bitchute
2020-12-09,4Chan,Bitchute
2020-12-10,4Chan,Bitchute
2020-11-07,Twitter,4Chan
2020-12-10,Bitchute,Bitchute
2020-12-31,Bitchute,Bitchute
2020-12-31,Bitchute,Bitchute
2021-01-06,Bitchute,Bitchute
2021-01-06,Bitchute,Bitchute
2021-01-06,Bitchute,Bitchute
2020-12-30,Bitchute,Bitchute
2020-11-07,Twitter,4Chan
2020-12-25,Bitchute,Bitchute
2020-11-02,Bitchute,Bitchute
2021-01-02,Bitchute,Bitchute
2020-12-31,Bitchute,Bitchute
2020-12-31,Bitchute,Bitchute
2020-12-13,Bitchute,Bitchute
2020-12-13,Bitchute,Bitchute
2020-12-13,Bitchute,Bitchute
2020-12-13,Bitchute,Bitchute
2020-12-14,Bitchute,Bitchute
2020-12-14,Bitchute,Bitchute
2020-12-23,Bitchute,Bitchute
2021-01-08,Bitchute,Bitchute
2020-11-17,4Chan,YouTube
2020-11-17,4Chan,YouTube
2020-11-19,4Chan,YouTube
2020-11-20,4Chan,YouTube
2020-11-21,Gab,YouTube
2020-11-25,4Chan,YouTube
2020-11-26,4Chan,YouTube
2020-11-13,TG,YouTube
2020-11-17,TG,YouTube
2020-11-17,TG,YouTube
2020-11-05,TG,YouTube
2020-11-06,TG,YouTube
2020-11-13,TG,YouTube
2020-11-04,TG,YouTube
2020-11-17,TG,YouTube
2020-11-17,TG,YouTube
2020-11-13,TG,YouTube
2020-11-04,TG,YouTube
2020-11-05,TG,YouTube
2020-11-07,TG,YouTube
2020-11-07,TG,YouTube
2020-11-19,TG,YouTube
2020-12-02,TG,YouTube
2020-12-03,TG,YouTube
2020-12-03,TG,YouTube
2020-11-11,TG,YouTube
2020-11-17,TG,YouTube
2020-11-11,TG,YouTube
2021-01-06,TG,YouTube
2020-12-21,TG,YouTube
2020-12-21,TG,YouTube
2020-12-21,TG,YouTube
2021-01-06,TG,YouTube
2021-01-06,TG,YouTube
2021-01-06,TG,YouTube
2021-01-06,TG,YouTube
2020-11-20,TG,YouTube
2020-11-11,TG,YouTube
2020-11-04,TG,YouTube
2020-11-13,TG,YouTube
2020-11-17,TG,YouTube
2020-12-02,TG,YouTube
2020-11-04,TG,YouTube
2020-11-05,TG,YouTube
2020-11-13,TG,YouTube
2020-11-17,TG,YouTube
2020-11-13,TG,YouTube
2020-11-05,TG,YouTube
2020-12-02,TG,YouTube
2020-11-12,4Chan,YouTube
2020-11-19,Gab,YouTube
2020-11-24,4Chan,YouTube
2020-11-27,4Chan,YouTube
2020-11-28,Gab,YouTube
2020-11-28,4Chan,YouTube
2020-11-28,4Chan,YouTube
2020-11-28,4Chan,YouTube
2020-11-28,Gab,YouTube
2020-11-08,TG,YouTube
2020-11-11,TG,YouTube
2020-11-13,TG,YouTube
2020-11-14,TG,YouTube
2020-11-13,TG,YouTube
2020-11-08,TG,YouTube
2020-11-11,TG,YouTube
2020-11-14,TG,YouTube
2020-11-13,TG,YouTube
2020-11-11,TG,YouTube
2020-11-07,TG,YouTube
2020-11-11,TG,YouTube
2020-11-12,TG,YouTube
2020-11-13,TG,YouTube
2020-11-13,TG,YouTube
2020-11-07,TG,YouTube
2020-11-07,TG,YouTube
2020-11-08,TG,YouTube
2020-11-08,TG,YouTube
2020-11-11,TG,YouTube
2020-11-11,TG,YouTube
2020-11-13,TG,YouTube
2020-11-13,TG,YouTube
2020-11-13,TG,YouTube
2020-11-13,TG,YouTube
2020-11-14,TG,YouTube
2020-12-01,TG,YouTube
2020-11-07,TG,YouTube
2020-12-15,TG,YouTube
2020-12-23,TG,YouTube
2020-12-24,TG,YouTube
2021-01-07,TG,YouTube
2020-12-24,TG,YouTube
2020-12-04,TG,YouTube
2020-12-15,TG,YouTube
2020-12-16,TG,YouTube
2020-12-17,TG,YouTube
2020-12-23,TG,YouTube
2021-01-07,TG,YouTube
2021-01-07,TG,YouTube
2021-01-07,TG,YouTube
2021-01-05,TG,YouTube
2020-12-24,TG,YouTube
2020-12-23,TG,YouTube
2021-01-09,TG,YouTube
2021-01-09,TG,YouTube
2021-01-09,TG,YouTube
2021-01-09,TG,YouTube
2020-11-13,TG,YouTube
2020-11-26,TG,YouTube
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-12,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-11-11,Twitter,4Chan
2020-12-28,Bitchute,Bitchute
2020-11-18,Bitchute,Bitchute
2020-12-14,Bitchute,Bitchute
2020-11-01,4Chan,Bitchute
2020-11-11,4Chan,Bitchute
2020-11-17,4Chan,Bitchute
2020-11-26,Gab,Bitchute
2020-11-26,Gab,Bitchute
2020-11-27,4Chan,Bitchute
2020-11-28,Gab,Bitchute
2020-11-29,Gab,Bitchute
2020-11-29,Gab,Bitchute
2020-11-30,Gab,Bitchute
2020-11-30,Gab,Bitchute
2020-11-30,Gab,Bitchute
2020-11-30,Gab,Bitchute
2020-12-01,Gab,Bitchute
2020-12-04,Gab,Bitchute
